Afrikaans	Indië	Proper noun	# [[India]]
Afrikaans	Indië	Proper noun	# the [[Indies]]
Afrikaans	Internet	Noun	# the {{l/en|Internet}}
Afrikaans	Iran	Proper noun	# {{l|en|Iran}}
Afrikaans	Italië	Proper noun	# [[Italy]]
Afrikaans	Ivoorkus	Proper noun	# {{l|en|Ivory Coast}}
Afrikaans	Januarie	Noun	# [[January]]
Afrikaans	Januariemaande	Noun	# {{plural of|Januarie|lang=af}}
Afrikaans	Japan	Proper noun	# {{l|en|Japan}}
Afrikaans	Jesus	Proper noun	# {{l/en|Jesus}}
Afrikaans	Jiddisj	Proper noun	# [[Yiddish]] (language)
Afrikaans	Johan	Proper noun	# {{given name|male|lang=af|nodot=1}}: [[John]]
Afrikaans	Johannesburg	Proper noun	# {{l/en|Johannesburg}}
Afrikaans	Jonnie	Proper noun	# {{given name|male|lang=af}}: [[Johnny]]
Afrikaans	Julie	Noun	# [[July]]
Afrikaans	Juliemaande	Noun	# {{plural of|Julie|lang=af}}
Afrikaans	Junie	Noun	# [[June]]
Afrikaans	Juniemaande	Noun	# {{plural of|Junie|lang=af}}
Afrikaans	Kaap	Proper noun	# The [[Cape]].
Afrikaans	Kaapstad	Proper noun	# [[Cape Town]]
Afrikaans	Karibiese See	Proper noun	# [[Caribbean Sea]]
Afrikaans	Kersfees	Proper noun	# [[Christmas]]
Afrikaans	Khoenstam	Noun	# [[Khoekhoe]] [[tribe]]
Afrikaans	Khoenstamme	Noun	# {{plural of|Khoenstam|lang=af}}
Afrikaans	Kuba	Proper noun	# [[Cuba]]
Afrikaans	Lesotho	Proper noun	# {{l|en|Lesotho}}
Afrikaans	Luxemburg	Proper noun	# [[Luxembourg]]
Afrikaans	Maandag	Noun	# [[Monday]]
Afrikaans	Maart	Noun	# [[March]]
Afrikaans	Maartmaande	Noun	# {{plural of|Maart|lang=af}}
Afrikaans	Malan	Proper noun	# A surname in the [[Republic of South Africa]], particularly the influential Malan family.
Afrikaans	Malawi	Proper noun	# {{l|en|Malawi}}
Afrikaans	Maleis	Noun	# The [[Malay]] language <!-- person too? -->
Afrikaans	Mali	Proper noun	# {{l|en|Mali}}
Afrikaans	Mauritius	Proper noun	# {{l|en|Mauritius}}
Afrikaans	Mayotte	Proper noun	# {{l|en|Mayotte}}
Afrikaans	Mei	Noun	# [[May]]
Afrikaans	Meimaande	Noun	# {{plural of|Mei|lang=af}}
Afrikaans	Miami	Proper noun	# {{l|en|Miami}}
Afrikaans	NP	Abbreviation	# [[w:af:Nasionale Party|National Party]]
Afrikaans	Namibië	Proper noun	# [[Namibia]]
Afrikaans	Nederland	Proper noun	# The [[Netherlands]]
Afrikaans	Nederlands	Adjective	# {{l/en|Dutch}}
Afrikaans	Nederlands	Proper noun	# {{l/en|Dutch}} (language)
Afrikaans	Nieu-Seeland	Proper noun	# [[New Zealand]]
Afrikaans	Noorweë	Proper noun	# [[Norway]]
Afrikaans	November	Noun	# [[#English|November]]
Afrikaans	Novembermaande	Noun	# {{plural of|November|lang=af}}
Afrikaans	Oktober	Noun	# [[October]]
Afrikaans	Oktobermaande	Noun	# {{plural of|Oktober|lang=af}}
